name,ingredient_list,diet,flavor_profile,course,state,region,dish_text
balu shahi,"['maida flour', 'yogurt', 'oil', 'sugar']",vegetarian,sweet,dessert,west bengal,east,balu shahi maida flour yogurt oil sugar vegetarian sweet dessert west bengal east
boondi,"['gram flour', 'ghee', 'sugar']",vegetarian,sweet,dessert,rajasthan,west,boondi gram flour ghee sugar vegetarian sweet dessert rajasthan west
gajar ka halwa,"['carrots', 'milk', 'sugar', 'ghee', 'cashews', 'raisins']",vegetarian,sweet,dessert,punjab,north,gajar ka halwa carrots milk sugar ghee cashews raisins vegetarian sweet dessert punjab north
ghevar,"['flour', 'ghee', 'kewra', 'milk', 'clarified butter', 'sugar', 'almonds', 'pistachio', 'saffron', 'green cardamom']",vegetarian,sweet,dessert,rajasthan,west,ghevar flour ghee kewra milk clarified butter sugar almonds pistachio saffron green cardamom vegetarian sweet dessert rajasthan west
gulab jamun,"['milk powder', 'plain flour', 'baking powder', 'ghee', 'milk', 'sugar', 'water', 'rose water']",vegetarian,sweet,dessert,west bengal,east,gulab jamun milk powder plain flour baking powder ghee milk sugar water rose water vegetarian sweet dessert west bengal east
imarti,"['sugar syrup', 'lentil flour']",vegetarian,sweet,dessert,west bengal,east,imarti sugar syrup lentil flour vegetarian sweet dessert west bengal east
jalebi,"['maida', 'corn flour', 'baking soda', 'vinegar', 'curd', 'water', 'turmeric', 'saffron', 'cardamom']",vegetarian,sweet,dessert,uttar pradesh,north,jalebi maida corn flour baking soda vinegar curd water turmeric saffron cardamom vegetarian sweet dessert uttar pradesh north
kaju katli,"['cashews', 'ghee', 'cardamom', 'sugar']",vegetarian,sweet,dessert,unknown,unknown,kaju katli cashews ghee cardamom sugar vegetarian sweet dessert unknown unknown
kalakand,"['milk', 'cottage cheese', 'sugar']",vegetarian,sweet,dessert,west bengal,east,kalakand milk cottage cheese sugar vegetarian sweet dessert west bengal east
kheer,"['milk', 'rice', 'sugar', 'dried fruits']",vegetarian,sweet,dessert,unknown,unknown,kheer milk rice sugar dried fruits vegetarian sweet dessert unknown unknown
laddu,"['gram flour', 'ghee', 'sugar']",vegetarian,sweet,dessert,unknown,unknown,laddu gram flour ghee sugar vegetarian sweet dessert unknown unknown
lassi,"['yogurt', 'milk', 'nuts', 'sugar']",vegetarian,sweet,dessert,punjab,north,lassi yogurt milk nuts sugar vegetarian sweet dessert punjab north
nankhatai,"['refined flour', 'besan', 'ghee', 'powdered sugar', 'yoghurt', 'green cardamom']",vegetarian,sweet,dessert,unknown,unknown,nankhatai refined flour besan ghee powdered sugar yoghurt green cardamom vegetarian sweet dessert unknown unknown
petha,"['firm white pumpkin', 'sugar', 'kitchen lime', 'alum powder']",vegetarian,sweet,dessert,uttar pradesh,north,petha firm white pumpkin sugar kitchen lime alum powder vegetarian sweet dessert uttar pradesh north
phirni,"['rice', 'sugar', 'nuts']",vegetarian,sweet,dessert,odisha,east,phirni rice sugar nuts vegetarian sweet dessert odisha east
rabri,"['condensed milk', 'sugar', 'spices', 'nuts']",vegetarian,sweet,dessert,uttar pradesh,north,rabri condensed milk sugar spices nuts vegetarian sweet dessert uttar pradesh north
sheera,"['semolina', 'ghee', 'nuts', 'milk']",vegetarian,sweet,dessert,maharashtra,west,sheera semolina ghee nuts milk vegetarian sweet dessert maharashtra west
singori,"['khoa', 'coconut', 'molu leaf']",vegetarian,sweet,dessert,uttarakhand,north,singori khoa coconut molu leaf vegetarian sweet dessert uttarakhand north
sohan halwa,"['corn flour', 'ghee', 'dry fruits']",vegetarian,sweet,dessert,uttar pradesh,north,sohan halwa corn flour ghee dry fruits vegetarian sweet dessert uttar pradesh north
sohan papdi,"['gram flour', 'ghee', 'sugar', 'milk', 'cardamom']",vegetarian,sweet,dessert,maharashtra,west,sohan papdi gram flour ghee sugar milk cardamom vegetarian sweet dessert maharashtra west
chhena jalebi,"['chhena', 'sugar', 'ghee']",vegetarian,sweet,dessert,odisha,east,chhena jalebi chhena sugar ghee vegetarian sweet dessert odisha east
chhena kheeri,"['chhena', 'sugar', 'milk']",vegetarian,sweet,dessert,odisha,east,chhena kheeri chhena sugar milk vegetarian sweet dessert odisha east
chhena poda,"['sugar', 'chenna cheese']",vegetarian,sweet,dessert,odisha,east,chhena poda sugar chenna cheese vegetarian sweet dessert odisha east
cham cham,"['flour', 'cream', 'sugar', 'saffron', 'lemon juice', 'coconut flakes']",vegetarian,sweet,dessert,west bengal,east,cham cham flour cream sugar saffron lemon juice coconut flakes vegetarian sweet dessert west bengal east
kheer sagar,"['chenna', 'condensed milk', 'sugar', 'saffron', 'cardamom']",vegetarian,sweet,dessert,odisha,east,kheer sagar chenna condensed milk sugar saffron cardamom vegetarian sweet dessert odisha east
ledikeni,"['chhena', 'sugar', 'ghee']",vegetarian,sweet,dessert,west bengal,east,ledikeni chhena sugar ghee vegetarian sweet dessert west bengal east
lyangcha,"['flour', 'fried milk power', 'sugar syrup']",vegetarian,sweet,dessert,assam,north east,lyangcha flour fried milk power sugar syrup vegetarian sweet dessert assam north east
malapua,"['yoghurt', 'refined flour', 'ghee', 'fennel seeds']",vegetarian,sweet,dessert,bihar,north,malapua yoghurt refined flour ghee fennel seeds vegetarian sweet dessert bihar north
mihidana,"['besan flour', 'sugar', 'ghee']",vegetarian,sweet,dessert,west bengal,east,mihidana besan flour sugar ghee vegetarian sweet dessert west bengal east
misti doi,"['milk', 'jaggery']",vegetarian,sweet,dessert,west bengal,east,misti doi milk jaggery vegetarian sweet dessert west bengal east
pantua,"['chhena', 'sugar', 'ghee', 'flour']",vegetarian,sweet,dessert,west bengal,east,pantua chhena sugar ghee flour vegetarian sweet dessert west bengal east
pithe,"['rice flour', 'wheat flour']",vegetarian,sweet,dessert,assam,north east,pithe rice flour wheat flour vegetarian sweet dessert assam north east
rasabali,"['chenna', 'sweetened milk']",vegetarian,sweet,dessert,odisha,east,rasabali chenna sweetened milk vegetarian sweet dessert odisha east
ras malai,"['chhena', 'reduced milk', 'pistachio']",vegetarian,sweet,dessert,west bengal,east,ras malai chhena reduced milk pistachio vegetarian sweet dessert west bengal east
rasgulla,"['chhena', 'sugar', 'cardamom']",vegetarian,sweet,dessert,west bengal,east,rasgulla chhena sugar cardamom vegetarian sweet dessert west bengal east
sandesh,"['milk', 'sugar', 'saffron', 'cardamom']",vegetarian,sweet,dessert,west bengal,east,sandesh milk sugar saffron cardamom vegetarian sweet dessert west bengal east
adhirasam,"['rice flour', 'jaggery', 'ghee', 'vegetable oil', 'elachi']",vegetarian,sweet,dessert,west bengal,east,adhirasam rice flour jaggery ghee vegetable oil elachi vegetarian sweet dessert west bengal east
ariselu,"['rice flour', 'jaggery', 'ghee']",vegetarian,sweet,dessert,andhra pradesh,south,ariselu rice flour jaggery ghee vegetarian sweet dessert andhra pradesh south
bandar laddu,"['besan', 'jaggery', 'cardamom powder', 'ghee', 'cashews and raisins', 'jaggery syrup', 'sugar']",vegetarian,sweet,dessert,andhra pradesh,south,bandar laddu besan jaggery cardamom powder ghee cashews and raisins jaggery syrup sugar vegetarian sweet dessert andhra pradesh south
chikki,"['peanuts', 'jaggery']",vegetarian,sweet,dessert,maharashtra,west,chikki peanuts jaggery vegetarian sweet dessert maharashtra west
