query,dish_name
shakahari meetha,balu shahi
yogurt meetha,balu shahi
yogurt dessert,balu shahi
west bengal meetha,balu shahi
west bengal sweet,balu shahi
maida flour dessert,balu shahi
west bengal dish,balu shahi
sweet dessert,balu shahi
shakahari dish,balu shahi
balu shahi,balu shahi
balu shahi dessert,balu shahi
vegetarian dessert,balu shahi
maida flour meetha,balu shahi
balu shahi meetha,balu shahi
meetha meetha,balu shahi
vegetarian dish,balu shahi
maida flour sweet,balu shahi
yogurt sweet,balu shahi
meetha meetha,boondi
shakahari meetha,boondi
gram flour meetha,boondi
rajasthan meetha,boondi
boondi dessert,boondi
gram flour dessert,boondi
boondi,boondi
ghee meetha,boondi
sweet dessert,boondi
rajasthan sweet,boondi
shakahari dish,boondi
vegetarian dessert,boondi
boondi meetha,boondi
gram flour sweet,boondi
ghee sweet,boondi
vegetarian dish,boondi
ghee dessert,boondi
rajasthan dish,boondi
punjab meetha,gajar ka halwa
gajar ka halwa meetha,gajar ka halwa
punjab sweet,gajar ka halwa
shakahari dish,gajar ka halwa
carrots meetha,gajar ka halwa
gajar ka,gajar ka halwa
milk dessert,gajar ka halwa
sweet dessert,gajar ka halwa
vegetarian dish,gajar ka halwa
shakahari meetha,gajar ka halwa
gajar ka halwa dessert,gajar ka halwa
carrots dessert,gajar ka halwa
gajar ka halwa,gajar ka halwa
meetha meetha,gajar ka halwa
punjab dish,gajar ka halwa
vegetarian dessert,gajar ka halwa
carrots sweet,gajar ka halwa
milk meetha,gajar ka halwa
milk sweet,gajar ka halwa
meetha meetha,ghevar
shakahari meetha,ghevar
flour meetha,ghevar
rajasthan meetha,ghevar
ghee meetha,ghevar
ghevar dessert,ghevar
ghevar,ghevar
flour dessert,ghevar
sweet dessert,ghevar
rajasthan sweet,ghevar
shakahari dish,ghevar
vegetarian dessert,ghevar
flour sweet,ghevar
ghevar meetha,ghevar
ghee sweet,ghevar
vegetarian dish,ghevar
ghee dessert,ghevar
rajasthan dish,ghevar
plain flour sweet,gulab jamun
shakahari meetha,gulab jamun
gulab jamun meetha,gulab jamun
west bengal meetha,gulab jamun
west bengal sweet,gulab jamun
milk powder sweet,gulab jamun
west bengal dish,gulab jamun
sweet dessert,gulab jamun
shakahari dish,gulab jamun
gulab jamun,gulab jamun
plain flour meetha,gulab jamun
vegetarian dessert,gulab jamun
milk powder meetha,gulab jamun
gulab jamun dessert,gulab jamun
plain flour dessert,gulab jamun
meetha meetha,gulab jamun
vegetarian dish,gulab jamun
milk powder dessert,gulab jamun
shakahari meetha,imarti
west bengal meetha,imarti
west bengal sweet,imarti
lentil flour sweet,imarti
imarti dessert,imarti
lentil flour dessert,imarti
west bengal dish,imarti
sweet dessert,imarti
imarti meetha,imarti
shakahari dish,imarti
sugar syrup sweet,imarti
vegetarian dessert,imarti
sugar syrup dessert,imarti
imarti,imarti
lentil flour meetha,imarti
meetha meetha,imarti
vegetarian dish,imarti
sugar syrup meetha,imarti
shakahari meetha,jalebi
corn flour meetha,jalebi
uttar pradesh sweet,jalebi
jalebi meetha,jalebi
jalebi,jalebi
jalebi dessert,jalebi
sweet dessert,jalebi
maida meetha,jalebi
shakahari dish,jalebi
maida sweet,jalebi
uttar pradesh dish,jalebi
uttar pradesh meetha,jalebi
maida dessert,jalebi
corn flour dessert,jalebi
vegetarian dessert,jalebi
meetha meetha,jalebi
vegetarian dish,jalebi
corn flour sweet,jalebi
meetha meetha,kaju katli
shakahari meetha,kaju katli
cashews dessert,kaju katli
cashews sweet,kaju katli
unknown meetha,kaju katli
ghee meetha,kaju katli
sweet dessert,kaju katli
shakahari dish,kaju katli
ghee sweet,kaju katli
cashews meetha,kaju katli
kaju katli meetha,kaju katli
vegetarian dessert,kaju katli
kaju katli dessert,kaju katli
unknown dish,kaju katli
kaju katli,kaju katli
unknown sweet,kaju katli
vegetarian dish,kaju katli
ghee dessert,kaju katli
milk meetha,kalakand
kalakand meetha,kalakand
shakahari meetha,kalakand
west bengal meetha,kalakand
west bengal sweet,kalakand
kalakand dessert,kalakand
west bengal dish,kalakand
cottage cheese sweet,kalakand
kalakand,kalakand
sweet dessert,kalakand
shakahari dish,kalakand
milk dessert,kalakand
