query,dish_name
balu shahi,balu shahi
meetha balu shahi,balu shahi
balu shahi dessert,balu shahi
maida flour balu shahi,balu shahi
sweet balu shahi,balu shahi
west bengal balu shahi,balu shahi
gram flour boondi,boondi
boondi,boondi
boondi dessert,boondi
sweet boondi,boondi
rajasthan boondi,boondi
meetha boondi,boondi
gajar ka halwa,gajar ka halwa
sweet gajar ka halwa,gajar ka halwa
meetha gajar ka halwa,gajar ka halwa
punjab gajar ka halwa,gajar ka halwa
gajar ka halwa dessert,gajar ka halwa
carrots gajar ka halwa,gajar ka halwa
sweet ghevar,ghevar
flour ghevar,ghevar
ghevar dessert,ghevar
meetha ghevar,ghevar
rajasthan ghevar,ghevar
ghevar,ghevar
milk powder gulab jamun,gulab jamun
gulab jamun,gulab jamun
meetha gulab jamun,gulab jamun
sweet gulab jamun,gulab jamun
gulab jamun dessert,gulab jamun
west bengal gulab jamun,gulab jamun
imarti dessert,imarti
sugar syrup imarti,imarti
meetha imarti,imarti
sweet imarti,imarti
imarti,imarti
west bengal imarti,imarti
sweet jalebi,jalebi
maida jalebi,jalebi
jalebi,jalebi
uttar pradesh jalebi,jalebi
meetha jalebi,jalebi
jalebi dessert,jalebi
sweet kaju katli,kaju katli
kaju katli,kaju katli
cashews kaju katli,kaju katli
kaju katli dessert,kaju katli
meetha kaju katli,kaju katli
kalakand,kalakand
sweet kalakand,kalakand
kalakand dessert,kalakand
milk kalakand,kalakand
west bengal kalakand,kalakand
meetha kalakand,kalakand
milk kheer,kheer
sweet kheer,kheer
meetha kheer,kheer
kheer,kheer
kheer dessert,kheer
meetha laddu,laddu
gram flour laddu,laddu
sweet laddu,laddu
laddu,laddu
laddu dessert,laddu
lassi dessert,lassi
meetha lassi,lassi
punjab lassi,lassi
sweet lassi,lassi
yogurt lassi,lassi
lassi,lassi
nankhatai,nankhatai
refined flour nankhatai,nankhatai
nankhatai dessert,nankhatai
sweet nankhatai,nankhatai
meetha nankhatai,nankhatai
petha dessert,petha
sweet petha,petha
meetha petha,petha
firm white pumpkin petha,petha
petha,petha
uttar pradesh petha,petha
phirni,phirni
odisha phirni,phirni
rice phirni,phirni
meetha phirni,phirni
phirni dessert,phirni
sweet phirni,phirni
uttar pradesh rabri,rabri
meetha rabri,rabri
rabri dessert,rabri
condensed milk rabri,rabri
sweet rabri,rabri
rabri,rabri
maharashtra sheera,sheera
sweet sheera,sheera
sheera dessert,sheera
sheera,sheera
meetha sheera,sheera
semolina sheera,sheera
meetha singori,singori
sweet singori,singori
singori,singori
singori dessert,singori
khoa singori,singori
uttarakhand singori,singori
sohan halwa,sohan halwa
meetha sohan halwa,sohan halwa
uttar pradesh sohan halwa,sohan halwa
sweet sohan halwa,sohan halwa
sohan halwa dessert,sohan halwa
corn flour sohan halwa,sohan halwa
sweet sohan papdi,sohan papdi
sohan papdi,sohan papdi
maharashtra sohan papdi,sohan papdi
meetha sohan papdi,sohan papdi
sohan papdi dessert,sohan papdi
gram flour sohan papdi,sohan papdi
sweet chhena jalebi,chhena jalebi
chhena jalebi,chhena jalebi
meetha chhena jalebi,chhena jalebi
odisha chhena jalebi,chhena jalebi
chhena chhena jalebi,chhena jalebi
chhena jalebi dessert,chhena jalebi
chhena kheeri,chhena kheeri
sweet chhena kheeri,chhena kheeri
chhena kheeri dessert,chhena kheeri
meetha chhena kheeri,chhena kheeri
chhena chhena kheeri,chhena kheeri
odisha chhena kheeri,chhena kheeri
meetha chhena poda,chhena poda
sweet chhena poda,chhena poda
chhena poda dessert,chhena poda
odisha chhena poda,chhena poda
sugar chhena poda,chhena poda
chhena poda,chhena poda
flour cham cham,cham cham
cham cham,cham cham
sweet cham cham,cham cham
cham cham dessert,cham cham
meetha cham cham,cham cham
west bengal cham cham,cham cham
chenna kheer sagar,kheer sagar
meetha kheer sagar,kheer sagar
kheer sagar,kheer sagar
kheer sagar dessert,kheer sagar
odisha kheer sagar,kheer sagar
sweet kheer sagar,kheer sagar
meetha ledikeni,ledikeni
sweet ledikeni,ledikeni
ledikeni dessert,ledikeni
ledikeni,ledikeni
west bengal ledikeni,ledikeni
chhena ledikeni,ledikeni
flour lyangcha,lyangcha
lyangcha dessert,lyangcha
assam lyangcha,lyangcha
sweet lyangcha,lyangcha
lyangcha,lyangcha
meetha lyangcha,lyangcha
bihar malapua,malapua
sweet malapua,malapua
meetha malapua,malapua
malapua,malapua
yoghurt malapua,malapua
malapua dessert,malapua
meetha mihidana,mihidana
sweet mihidana,mihidana
west bengal mihidana,mihidana
mihidana,mihidana
mihidana dessert,mihidana
besan flour mihidana,mihidana
meetha misti doi,misti doi
milk misti doi,misti doi
misti doi dessert,misti doi
sweet misti doi,misti doi
misti doi,misti doi
west bengal misti doi,misti doi
west bengal pantua,pantua
pantua,pantua
chhena pantua,pantua
meetha pantua,pantua
sweet pantua,pantua
pantua dessert,pantua
rice flour pithe,pithe
assam pithe,pithe
pithe,pithe
pithe dessert,pithe
meetha pithe,pithe
sweet pithe,pithe
meetha rasabali,rasabali
rasabali dessert,rasabali
chenna rasabali,rasabali
odisha rasabali,rasabali
sweet rasabali,rasabali
rasabali,rasabali
ras malai,ras malai
chhena ras malai,ras malai
meetha ras malai,ras malai
ras malai dessert,ras malai
sweet ras malai,ras malai
west bengal ras malai,ras malai
sweet rasgulla,rasgulla
rasgulla,rasgulla
rasgulla dessert,rasgulla
meetha rasgulla,rasgulla
west bengal rasgulla,rasgulla
chhena rasgulla,rasgulla
meetha sandesh,sandesh
sandesh,sandesh
sandesh dessert,sandesh
milk sandesh,sandesh
sweet sandesh,sandesh
west bengal sandesh,sandesh
meetha adhirasam,adhirasam
adhirasam,adhirasam
west bengal adhirasam,adhirasam
sweet adhirasam,adhirasam
adhirasam dessert,adhirasam
rice flour adhirasam,adhirasam
meetha ariselu,ariselu
andhra pradesh ariselu,ariselu
ariselu,ariselu
rice flour ariselu,ariselu
sweet ariselu,ariselu
ariselu dessert,ariselu
andhra pradesh bandar laddu,bandar laddu
meetha bandar laddu,bandar laddu
bandar laddu,bandar laddu
besan bandar laddu,bandar laddu
bandar laddu dessert,bandar laddu
sweet bandar laddu,bandar laddu
chikki,chikki
meetha chikki,chikki
chikki dessert,chikki
sweet chikki,chikki
peanuts chikki,chikki
maharashtra chikki,chikki
dharwad pedha,dharwad pedha
milk dharwad pedha,dharwad pedha
sweet dharwad pedha,dharwad pedha
meetha dharwad pedha,dharwad pedha
karnataka dharwad pedha,dharwad pedha
dharwad pedha dessert,dharwad pedha
double ka meetha,double ka meetha
double ka meetha dessert,double ka meetha
sweet double ka meetha,double ka meetha
loaf bread double ka meetha,double ka meetha
meetha double ka meetha,double ka meetha
telangana double ka meetha,double ka meetha
sweet gavvalu,gavvalu
andhra pradesh gavvalu,gavvalu
gavvalu dessert,gavvalu
gavvalu,gavvalu
rice flour gavvalu,gavvalu
meetha gavvalu,gavvalu
kakinada khaja dessert,kakinada khaja
sweet kakinada khaja,kakinada khaja
wheat flour kakinada khaja,kakinada khaja
kakinada khaja,kakinada khaja
andhra pradesh kakinada khaja,kakinada khaja
meetha kakinada khaja,kakinada khaja
sweet kuzhi paniyaram,kuzhi paniyaram
kuzhi paniyaram dessert,kuzhi paniyaram
kuzhi paniyaram,kuzhi paniyaram
kerala kuzhi paniyaram,kuzhi paniyaram
meetha kuzhi paniyaram,kuzhi paniyaram
black lentils kuzhi paniyaram,kuzhi paniyaram
mysore pak,mysore pak
mysore pak dessert,mysore pak
besan flour mysore pak,mysore pak
karnataka mysore pak,mysore pak
meetha mysore pak,mysore pak
sweet mysore pak,mysore pak
obbattu holige,obbattu holige
karnataka obbattu holige,obbattu holige
meetha obbattu holige,obbattu holige
sweet obbattu holige,obbattu holige
obbattu holige main course,obbattu holige
maida flour obbattu holige,obbattu holige
palathalikalu,palathalikalu
sweet palathalikalu,palathalikalu
palathalikalu dessert,palathalikalu
andhra pradesh palathalikalu,palathalikalu
meetha palathalikalu,palathalikalu
rice flour palathalikalu,palathalikalu
poornalu,poornalu
meetha poornalu,poornalu
sweet poornalu,poornalu
poornalu dessert,poornalu
andhra pradesh poornalu,poornalu
chana dal poornalu,poornalu
tamil nadu pongal,pongal
meetha pongal,pongal
pongal,pongal
rice pongal,pongal
sweet pongal,pongal
pongal dessert,pongal
pootharekulu dessert,pootharekulu
sweet pootharekulu,pootharekulu
rice flour pootharekulu,pootharekulu
meetha pootharekulu,pootharekulu
pootharekulu,pootharekulu
andhra pradesh pootharekulu,pootharekulu
apricots qubani ka meetha,qubani ka meetha
sweet qubani ka meetha,qubani ka meetha
qubani ka meetha,qubani ka meetha
telangana qubani ka meetha,qubani ka meetha
qubani ka meetha dessert,qubani ka meetha
meetha qubani ka meetha,qubani ka meetha
sheer korma dessert,sheer korma
telangana sheer korma,sheer korma
sweet sheer korma,sheer korma
