query,dish_name,label
balu shahi,balu shahi,1
balu shahi,shahi tukra,0
balu shahi,shahi paneer,0
balu shahi,poornalu,0
balu shahi,palathalikalu,0
balu shahi,gavvalu,0
balu shahi,alu pitika,0
balu shahi,koshimbir,0
meetha balu shahi,balu shahi,1
meetha balu shahi,double ka meetha,0
meetha balu shahi,qubani ka meetha,0
meetha balu shahi,shahi tukra,0
meetha balu shahi,shahi paneer,0
meetha balu shahi,petha,0
meetha balu shahi,palathalikalu,0
meetha balu shahi,chak hao kheer,0
balu shahi dessert,balu shahi,1
balu shahi dessert,shahi tukra,0
balu shahi dessert,shahi paneer,0
balu shahi dessert,poornalu,0
balu shahi dessert,palathalikalu,0
balu shahi dessert,singori,0
balu shahi dessert,rasabali,0
balu shahi dessert,bebinca,0
maida flour balu shahi,balu shahi,1
maida flour balu shahi,shankarpali,0
maida flour balu shahi,obbattu holige,0
maida flour balu shahi,sutar feni,0
maida flour balu shahi,luchi,0
maida flour balu shahi,jalebi,0
maida flour balu shahi,shahi tukra,0
maida flour balu shahi,tandoori chicken,0
sweet balu shahi,balu shahi,1
sweet balu shahi,shahi tukra,0
sweet balu shahi,shahi paneer,0
sweet balu shahi,rasabali,0
sweet balu shahi,poornalu,0
sweet balu shahi,palathalikalu,0
sweet balu shahi,singori,0
sweet balu shahi,keerai masiyal,0
west bengal balu shahi,balu shahi,1
west bengal balu shahi,misti doi,0
west bengal balu shahi,pantua,0
west bengal balu shahi,imarti,0
west bengal balu shahi,cheera doi,0
west bengal balu shahi,ledikeni,0
west bengal balu shahi,rasgulla,0
west bengal balu shahi,shankarpali,0
gram flour boondi,boondi,1
gram flour boondi,kombdi vade,0
gram flour boondi,daal dhokli,0
gram flour boondi,khakhra,0
gram flour boondi,dhokla,0
gram flour boondi,laddu,0
gram flour boondi,pani puri,0
gram flour boondi,shufta,0
boondi,boondi,1
boondi,pani puri,0
boondi,basundi,0
boondi,khorisa,0
boondi,coconut vadi,0
boondi,daal baati churma,0
boondi,dhondas,0
boondi,mahim halwa,0
boondi dessert,boondi,1
boondi dessert,pani puri,0
boondi dessert,basundi,0
boondi dessert,misti doi,0
boondi dessert,singori,0
boondi dessert,dhondas,0
boondi dessert,modak,0
boondi dessert,pesarattu,0
sweet boondi,boondi,1
sweet boondi,pani puri,0
sweet boondi,singori,0
sweet boondi,dhondas,0
sweet boondi,rasabali,0
sweet boondi,basundi,0
sweet boondi,misti doi,0
sweet boondi,paneer butter masala,0
rajasthan boondi,boondi,1
rajasthan boondi,gatta curry,0
rajasthan boondi,pani puri,0
rajasthan boondi,daal baati churma,0
rajasthan boondi,ghevar,0
rajasthan boondi,pattor,0
rajasthan boondi,churma ladoo,0
rajasthan boondi,doodhpak,0
meetha boondi,boondi,1
meetha boondi,double ka meetha,0
meetha boondi,qubani ka meetha,0
meetha boondi,pani puri,0
meetha boondi,petha,0
meetha boondi,dudhi halwa,0
meetha boondi,til pitha,0
meetha boondi,bandar laddu,0
gajar ka halwa,gajar ka halwa,1
gajar ka halwa,mahim halwa,0
gajar ka halwa,sohan halwa,0
gajar ka halwa,dudhi halwa,0
gajar ka halwa,double ka meetha,0
gajar ka halwa,qubani ka meetha,0
gajar ka halwa,petha,0
gajar ka halwa,kumol sawul,0
sweet gajar ka halwa,gajar ka halwa,1
sweet gajar ka halwa,mahim halwa,0
sweet gajar ka halwa,dudhi halwa,0
sweet gajar ka halwa,sohan halwa,0
sweet gajar ka halwa,double ka meetha,0
sweet gajar ka halwa,qubani ka meetha,0
sweet gajar ka halwa,petha,0
sweet gajar ka halwa,adhirasam,0
meetha gajar ka halwa,gajar ka halwa,1
meetha gajar ka halwa,double ka meetha,0
meetha gajar ka halwa,qubani ka meetha,0
meetha gajar ka halwa,mahim halwa,0
meetha gajar ka halwa,sohan halwa,0
meetha gajar ka halwa,dudhi halwa,0
meetha gajar ka halwa,petha,0
meetha gajar ka halwa,poha,0
punjab gajar ka halwa,gajar ka halwa,1
punjab gajar ka halwa,mahim halwa,0
punjab gajar ka halwa,sohan halwa,0
punjab gajar ka halwa,dudhi halwa,0
punjab gajar ka halwa,double ka meetha,0
punjab gajar ka halwa,qubani ka meetha,0
punjab gajar ka halwa,lassi,0
punjab gajar ka halwa,chak hao kheer,0
gajar ka halwa dessert,gajar ka halwa,1
gajar ka halwa dessert,mahim halwa,0
gajar ka halwa dessert,sohan halwa,0
gajar ka halwa dessert,dudhi halwa,0
gajar ka halwa dessert,double ka meetha,0
gajar ka halwa dessert,qubani ka meetha,0
gajar ka halwa dessert,petha,0
gajar ka halwa dessert,misti doi,0
carrots gajar ka halwa,gajar ka halwa,1
carrots gajar ka halwa,mahim halwa,0
carrots gajar ka halwa,sohan halwa,0
carrots gajar ka halwa,dudhi halwa,0
carrots gajar ka halwa,qubani ka meetha,0
carrots gajar ka halwa,double ka meetha,0
carrots gajar ka halwa,kumol sawul,0
carrots gajar ka halwa,kabiraji,0
sweet ghevar,ghevar,1
sweet ghevar,singori,0
sweet ghevar,sutar feni,0
sweet ghevar,pantua,0
sweet ghevar,ledikeni,0
sweet ghevar,rasabali,0
sweet ghevar,sheera,0
sweet ghevar,palak paneer,0
flour ghevar,ghevar,1
flour ghevar,thalipeeth,0
flour ghevar,kombdi vade,0
flour ghevar,thepla,0
flour ghevar,pithe,0
flour ghevar,misi roti,0
flour ghevar,laddu,0
flour ghevar,dal tadka,0
ghevar dessert,ghevar,1
ghevar dessert,singori,0
ghevar dessert,sutar feni,0
ghevar dessert,dhondas,0
ghevar dessert,dharwad pedha,0
ghevar dessert,mahim halwa,0
ghevar dessert,pantua,0
ghevar dessert,ariselu,0
meetha ghevar,ghevar,1
meetha ghevar,double ka meetha,0
meetha ghevar,qubani ka meetha,0
meetha ghevar,petha,0
meetha ghevar,til pitha,0
meetha ghevar,sevai,0
meetha ghevar,gheela pitha,0
meetha ghevar,khichdi,0
rajasthan ghevar,ghevar,1
rajasthan ghevar,boondi,0
rajasthan ghevar,gatta curry,0
rajasthan ghevar,daal baati churma,0
rajasthan ghevar,pattor,0
rajasthan ghevar,churma ladoo,0
rajasthan ghevar,nankhatai,0
rajasthan ghevar,konir dom,0
ghevar,ghevar,1
ghevar,sevai,0
ghevar,chevdo,0
ghevar,pantua,0
ghevar,sutar feni,0
ghevar,ledikeni,0
ghevar,laddu,0
ghevar,vegetable jalfrezi,0
milk powder gulab jamun,gulab jamun,1
milk powder gulab jamun,mawa bati,0
milk powder gulab jamun,mysore pak,0
milk powder gulab jamun,karela bharta,0
milk powder gulab jamun,dharwad pedha,0
milk powder gulab jamun,lyangcha,0
milk powder gulab jamun,kadhi pakoda,0
milk powder gulab jamun,masor tenga,0
gulab jamun,gulab jamun,1
gulab jamun,shufta,0
gulab jamun,dum aloo,0
gulab jamun,rasgulla,0
gulab jamun,mysore pak,0
gulab jamun,vegetable jalfrezi,0
gulab jamun,bandar laddu,0
