query,dish_name,label
balu shahi,balu shahi,1
balu shahi,cheera doi,0
balu shahi,til pitha,0
balu shahi,sheera,0
balu shahi,doodhpak,0
balu shahi,kheer sagar,0
balu shahi,gajar ka halwa,0
balu shahi,rajma chaval,0
meetha balu shahi,balu shahi,1
meetha balu shahi,sohan halwa,0
meetha balu shahi,dhondas,0
meetha balu shahi,goja,0
meetha balu shahi,kalakand,0
meetha balu shahi,sohan papdi,0
meetha balu shahi,pattor,0
meetha balu shahi,zunka,0
balu shahi dessert,balu shahi,1
balu shahi dessert,payasam,0
balu shahi dessert,singori,0
balu shahi dessert,rasgulla,0
balu shahi dessert,malapua,0
balu shahi dessert,kaju katli,0
balu shahi dessert,rabri,0
balu shahi dessert,petha,0
maida flour balu shahi,balu shahi,1
maida flour balu shahi,hando guri,0
maida flour balu shahi,kheer,0
maida flour balu shahi,dhondas,0
maida flour balu shahi,chhena kheeri,0
maida flour balu shahi,payasam,0
maida flour balu shahi,poriyal,0
maida flour balu shahi,alu pitika,0
sweet balu shahi,balu shahi,1
sweet balu shahi,sheer korma,0
sweet balu shahi,adhirasam,0
sweet balu shahi,halvasan,0
sweet balu shahi,sandesh,0
sweet balu shahi,lyangcha,0
sweet balu shahi,shrikhand,0
sweet balu shahi,pongal,0
west bengal balu shahi,balu shahi,1
west bengal balu shahi,ghevar,0
west bengal balu shahi,boondi,0
west bengal balu shahi,kulfi falooda,0
west bengal balu shahi,dharwad pedha,0
west bengal balu shahi,kalakand,0
west bengal balu shahi,modak,0
west bengal balu shahi,brown rice,0
gram flour boondi,boondi,1
gram flour boondi,sandesh,0
gram flour boondi,doodhpak,0
gram flour boondi,sutar feni,0
gram flour boondi,singori,0
gram flour boondi,qubani ka meetha,0
gram flour boondi,saath,0
gram flour boondi,dharwad pedha,0
boondi,boondi,1
boondi,lyangcha,0
boondi,kajjikaya,0
boondi,rasabali,0
boondi,chak hao kheer,0
boondi,sandesh,0
boondi,mahim halwa,0
boondi,gajar ka halwa,0
boondi dessert,boondi,1
boondi dessert,balu shahi,0
boondi dessert,unni appam,0
boondi dessert,pantua,0
boondi dessert,bandar laddu,0
boondi dessert,ledikeni,0
boondi dessert,lilva kachori,0
boondi dessert,basundi,0
sweet boondi,boondi,1
sweet boondi,pithe,0
sweet boondi,shrikhand,0
sweet boondi,palathalikalu,0
sweet boondi,churma ladoo,0
sweet boondi,phirni,0
sweet boondi,shahi tukra,0
sweet boondi,chak hao kheer,0
rajasthan boondi,boondi,1
rajasthan boondi,kulfi falooda,0
rajasthan boondi,chikki,0
rajasthan boondi,rasgulla,0
rajasthan boondi,singori,0
rajasthan boondi,malapua,0
rajasthan boondi,tandoori fish tikka,0
rajasthan boondi,puri bhaji,0
meetha boondi,boondi,1
meetha boondi,qubani ka meetha,0
meetha boondi,chhena kheeri,0
meetha boondi,balu shahi,0
meetha boondi,sandesh,0
meetha boondi,lassi,0
meetha boondi,daal baati churma,0
meetha boondi,dudhi halwa,0
gajar ka halwa,gajar ka halwa,1
gajar ka halwa,phirni,0
gajar ka halwa,mawa bati,0
gajar ka halwa,lassi,0
gajar ka halwa,sheera,0
gajar ka halwa,payasam,0
gajar ka halwa,khaman,0
