query,dish_name,label
balu shahi,balu shahi,1
balu shahi,kaju katli,0
balu shahi,kajjikaya,0
balu shahi,kuzhi paniyaram,0
balu shahi,shufta,0
balu shahi,chikki,0
balu shahi,dhondas,0
balu shahi,goja,0
meetha balu shahi,balu shahi,1
meetha balu shahi,bandar laddu,0
meetha balu shahi,gajar ka halwa,0
meetha balu shahi,mahim halwa,0
meetha balu shahi,coconut vadi,0
meetha balu shahi,shrikhand,0
meetha balu shahi,cham cham,0
meetha balu shahi,puri bhaji,0
balu shahi dessert,balu shahi,1
balu shahi dessert,kabiraji,0
balu shahi dessert,chikki,0
balu shahi dessert,ras malai,0
balu shahi dessert,mysore pak,0
balu shahi dessert,modak,0
balu shahi dessert,double ka meetha,0
balu shahi dessert,boondi,0
maida flour balu shahi,balu shahi,1
maida flour balu shahi,basundi,0
maida flour balu shahi,kaju katli,0
maida flour balu shahi,kulfi falooda,0
maida flour balu shahi,prawn malai curry,0
maida flour balu shahi,gajar ka halwa,0
maida flour balu shahi,kabiraji,0
maida flour balu shahi,chole bhature,0
sweet balu shahi,balu shahi,1
sweet balu shahi,laddu,0
sweet balu shahi,cheera doi,0
sweet balu shahi,singori,0
sweet balu shahi,obbattu holige,0
sweet balu shahi,pakhala,0
sweet balu shahi,lyangcha,0
sweet balu shahi,pattor,0
west bengal balu shahi,balu shahi,1
west bengal balu shahi,qubani ka meetha,0
west bengal balu shahi,sohan papdi,0
west bengal balu shahi,phirni,0
west bengal balu shahi,coconut vadi,0
west bengal balu shahi,doodhpak,0
west bengal balu shahi,kalakand,0
west bengal balu shahi,sheera,0
gram flour boondi,boondi,1
gram flour boondi,thepla,0
gram flour boondi,dahi vada,0
gram flour boondi,adhirasam,0
gram flour boondi,misti doi,0
gram flour boondi,imarti,0
gram flour boondi,ras malai,0
gram flour boondi,dum aloo,0
boondi,boondi,1
boondi,goja,0
boondi,saath,0
boondi,payasam,0
boondi,rasabali,0
boondi,sabudana khichadi,0
boondi,phirni,0
boondi,gajar ka halwa,0
boondi dessert,boondi,1
boondi dessert,khaman,0
boondi dessert,pantua,0
boondi dessert,vindaloo,0
boondi dessert,mahim halwa,0
boondi dessert,adhirasam,0
boondi dessert,rasabali,0
boondi dessert,maach jhol,0
sweet boondi,boondi,1
sweet boondi,puri bhaji,0
sweet boondi,daal baati churma,0
sweet boondi,sabudana khichadi,0
sweet boondi,khaman,0
sweet boondi,patra,0
sweet boondi,kajjikaya,0
sweet boondi,chana masala,0
rajasthan boondi,boondi,1
rajasthan boondi,handwo,0
rajasthan boondi,til pitha,0
rajasthan boondi,double ka meetha,0
rajasthan boondi,misti doi,0
rajasthan boondi,sheera,0
rajasthan boondi,amti,0
rajasthan boondi,vegetable jalfrezi,0
meetha boondi,boondi,1
meetha boondi,lassi,0
meetha boondi,petha,0
meetha boondi,kajjikaya,0
meetha boondi,undhiyu,0
meetha boondi,pithe,0
meetha boondi,modak,0
meetha boondi,maach jhol,0
gajar ka halwa,gajar ka halwa,1
gajar ka halwa,butter chicken,0
gajar ka halwa,jalebi,0
gajar ka halwa,aloo tikki,0
gajar ka halwa,mushroom matar,0
gajar ka halwa,shrikhand,0
gajar ka halwa,shahi tukra,0
gajar ka halwa,pattor,0
sweet gajar ka halwa,gajar ka halwa,1
sweet gajar ka halwa,rasgulla,0
sweet gajar ka halwa,ariselu,0
sweet gajar ka halwa,tandoori chicken,0
sweet gajar ka halwa,kaju katli,0
sweet gajar ka halwa,chicken tikka masala,0
sweet gajar ka halwa,pindi chana,0
sweet gajar ka halwa,laddu,0
meetha gajar ka halwa,gajar ka halwa,1
meetha gajar ka halwa,doodhpak,0
meetha gajar ka halwa,aloo methi,0
meetha gajar ka halwa,til pitha,0
meetha gajar ka halwa,aloo shimla mirch,0
meetha gajar ka halwa,rongi,0
meetha gajar ka halwa,mohanthal,0
meetha gajar ka halwa,phirni,0
punjab gajar ka halwa,gajar ka halwa,1
punjab gajar ka halwa,aloo matar,0
punjab gajar ka halwa,ariselu,0
punjab gajar ka halwa,shahi tukra,0
punjab gajar ka halwa,boondi,0
punjab gajar ka halwa,bandar laddu,0
punjab gajar ka halwa,pinaca,0
punjab gajar ka halwa,uttapam,0
gajar ka halwa dessert,gajar ka halwa,1
gajar ka halwa dessert,pootharekulu,0
gajar ka halwa dessert,lassi,0
gajar ka halwa dessert,chicken tikka,0
gajar ka halwa dessert,jalebi,0
gajar ka halwa dessert,chole bhature,0
gajar ka halwa dessert,paneer tikka masala,0
gajar ka halwa dessert,chapati,0
carrots gajar ka halwa,gajar ka halwa,1
carrots gajar ka halwa,gulab jamun,0
carrots gajar ka halwa,bebinca,0
carrots gajar ka halwa,lassi,0
carrots gajar ka halwa,shrikhand,0
carrots gajar ka halwa,chhena jalebi,0
carrots gajar ka halwa,payasam,0
carrots gajar ka halwa,makki di roti sarson da saag,0
sweet ghevar,ghevar,1
sweet ghevar,pantua,0
sweet ghevar,sheer korma,0
sweet ghevar,hando guri,0
sweet ghevar,saath,0
sweet ghevar,mawa bati,0
sweet ghevar,jeera aloo,0
sweet ghevar,modak,0
flour ghevar,ghevar,1
flour ghevar,imarti,0
flour ghevar,qubani ka meetha,0
flour ghevar,daal baati churma,0
flour ghevar,doodhpak,0
flour ghevar,kheer,0
flour ghevar,chhena jalebi,0
flour ghevar,aloo matar,0
ghevar dessert,ghevar,1
ghevar dessert,mahim halwa,0
ghevar dessert,mishti chholar dal,0
ghevar dessert,chhena jalebi,0
ghevar dessert,sutar feni,0
ghevar dessert,goja,0
ghevar dessert,vindaloo,0
ghevar dessert,upma,0
meetha ghevar,ghevar,1
meetha ghevar,khakhra,0
meetha ghevar,sutar feni,0
meetha ghevar,panjeeri,0
meetha ghevar,zunka,0
meetha ghevar,bombil fry,0
meetha ghevar,mawa bati,0
meetha ghevar,rabri,0
rajasthan ghevar,ghevar,1
rajasthan ghevar,copra paak,0
rajasthan ghevar,khandvi,0
rajasthan ghevar,rasabali,0
rajasthan ghevar,petha,0
rajasthan ghevar,handwo,0
rajasthan ghevar,adhirasam,0
rajasthan ghevar,masor koni,0
ghevar,ghevar,1
ghevar,churma ladoo,0
ghevar,adhirasam,0
ghevar,mishti chholar dal,0
ghevar,sev tameta,0
ghevar,balu shahi,0
ghevar,chevdo,0
ghevar,maach jhol,0
milk powder gulab jamun,gulab jamun,1
milk powder gulab jamun,prawn malai curry,0
milk powder gulab jamun,gajar ka halwa,0
milk powder gulab jamun,sheera,0
milk powder gulab jamun,modak,0
milk powder gulab jamun,shahi tukra,0
milk powder gulab jamun,mahim halwa,0
milk powder gulab jamun,doodhpak,0
gulab jamun,gulab jamun,1
gulab jamun,ghevar,0
gulab jamun,double ka meetha,0
gulab jamun,luchi,0
gulab jamun,shrikhand,0
gulab jamun,bebinca,0
gulab jamun,pinaca,0
gulab jamun,vindaloo,0
meetha gulab jamun,gulab jamun,1
meetha gulab jamun,pinaca,0
meetha gulab jamun,obbattu holige,0
meetha gulab jamun,chhena kheeri,0
meetha gulab jamun,gheela pitha,0
meetha gulab jamun,kaju katli,0
meetha gulab jamun,bandar laddu,0
meetha gulab jamun,litti chokha,0
sweet gulab jamun,gulab jamun,1
sweet gulab jamun,rasabali,0
sweet gulab jamun,unni appam,0
sweet gulab jamun,mihidana,0
sweet gulab jamun,jalebi,0
sweet gulab jamun,obbattu holige,0
sweet gulab jamun,goja,0
sweet gulab jamun,zunka,0
gulab jamun dessert,gulab jamun,1
gulab jamun dessert,pithe,0
gulab jamun dessert,doodhpak,0
gulab jamun dessert,churma ladoo,0
gulab jamun dessert,poornalu,0
gulab jamun dessert,lassi,0
gulab jamun dessert,chingri bhape,0
gulab jamun dessert,double ka meetha,0
west bengal gulab jamun,gulab jamun,1
west bengal gulab jamun,gavvalu,0
west bengal gulab jamun,shahi tukra,0
west bengal gulab jamun,shukto,0
west bengal gulab jamun,kalakand,0
west bengal gulab jamun,unni appam,0
west bengal gulab jamun,chingri malai curry,0
west bengal gulab jamun,petha,0
imarti dessert,imarti,1
imarti dessert,pakhala,0
imarti dessert,chhena kheeri,0
imarti dessert,anarsa,0
imarti dessert,double ka meetha,0
imarti dessert,kulfi falooda,0
imarti dessert,shankarpali,0
imarti dessert,goja,0
sugar syrup imarti,imarti,1
sugar syrup imarti,gud papdi,0
sugar syrup imarti,mysore pak,0
sugar syrup imarti,qubani ka meetha,0
sugar syrup imarti,pithe,0
sugar syrup imarti,sheera,0
sugar syrup imarti,chhena jalebi,0
sugar syrup imarti,pav bhaji,0
meetha imarti,imarti,1
meetha imarti,pinaca,0
meetha imarti,dal makhani,0
meetha imarti,misti doi,0
meetha imarti,payokh,0
meetha imarti,malapua,0
meetha imarti,rasabali,0
meetha imarti,papad,0
sweet imarti,imarti,1
sweet imarti,prawn malai curry,0
sweet imarti,shankarpali,0
sweet imarti,jalebi,0
sweet imarti,kaju katli,0
sweet imarti,nankhatai,0
sweet imarti,laddu,0
sweet imarti,rasam,0
imarti,imarti,1
imarti,mawa bati,0
imarti,cham cham,0
imarti,chhena poda,0
imarti,gheela pitha,0
imarti,chingri bhape,0
imarti,til pitha,0
imarti,sohan papdi,0
west bengal imarti,imarti,1
west bengal imarti,gulab jamun,0
west bengal imarti,sheer korma,0
west bengal imarti,petha,0
west bengal imarti,gavvalu,0
west bengal imarti,chhena kheeri,0
west bengal imarti,chicken razala,0
west bengal imarti,chapati,0
sweet jalebi,jalebi,1
sweet jalebi,dudhi halwa,0
sweet jalebi,rabri,0
sweet jalebi,gud papdi,0
sweet jalebi,makki di roti sarson da saag,0
sweet jalebi,naan,0
sweet jalebi,obbattu holige,0
sweet jalebi,palathalikalu,0
maida jalebi,jalebi,1
maida jalebi,gheela pitha,0
maida jalebi,ghevar,0
maida jalebi,sandesh,0
maida jalebi,sheera,0
maida jalebi,malapua,0
maida jalebi,doodhpak,0
maida jalebi,churma ladoo,0
jalebi,jalebi,1
jalebi,shufta,0
jalebi,sheer korma,0
jalebi,halvasan,0
jalebi,kadhi pakoda,0
jalebi,kuzhi paniyaram,0
jalebi,cham cham,0
jalebi,kolim jawla,0
uttar pradesh jalebi,jalebi,1
uttar pradesh jalebi,kadai paneer,0
uttar pradesh jalebi,kulfi falooda,0
uttar pradesh jalebi,dudhi halwa,0
uttar pradesh jalebi,modak,0
uttar pradesh jalebi,obbattu holige,0
uttar pradesh jalebi,petha,0
uttar pradesh jalebi,konir dom,0
meetha jalebi,jalebi,1
meetha jalebi,dal tadka,0
meetha jalebi,chhena kheeri,0
meetha jalebi,misi roti,0
meetha jalebi,mushroom do pyaza,0
meetha jalebi,gajar ka halwa,0
meetha jalebi,shrikhand,0
meetha jalebi,keerai kootu,0
jalebi dessert,jalebi,1
jalebi dessert,lassi,0
jalebi dessert,mushroom do pyaza,0
jalebi dessert,singori,0
jalebi dessert,mishti chholar dal,0
jalebi dessert,sohan halwa,0
jalebi dessert,makki di roti sarson da saag,0
jalebi dessert,misti doi,0
sweet kaju katli,kaju katli,1
sweet kaju katli,gulab jamun,0
sweet kaju katli,pinaca,0
sweet kaju katli,nankhatai,0
sweet kaju katli,pantua,0
sweet kaju katli,mawa bati,0
sweet kaju katli,chhena kheeri,0
sweet kaju katli,aloo gobi,0
kaju katli,kaju katli,1
kaju katli,mishti chholar dal,0
kaju katli,pootharekulu,0
kaju katli,double ka meetha,0
kaju katli,kakinada khaja,0
kaju katli,balu shahi,0
kaju katli,kajjikaya,0
kaju katli,gheela pitha,0
cashews kaju katli,kaju katli,1
cashews kaju katli,cham cham,0
cashews kaju katli,shahi tukra,0
cashews kaju katli,ghevar,0
cashews kaju katli,shufta,0
cashews kaju katli,mahim halwa,0
cashews kaju katli,til pitha,0
cashews kaju katli,qubani ka meetha,0
kaju katli dessert,kaju katli,1
kaju katli dessert,shankarpali,0
kaju katli dessert,panjeeri,0
kaju katli dessert,pantua,0
kaju katli dessert,doodhpak,0
kaju katli dessert,palathalikalu,0
kaju katli dessert,anarsa,0
kaju katli dessert,pindi chana,0
meetha kaju katli,kaju katli,1
meetha kaju katli,dal makhani,0
meetha kaju katli,sohan papdi,0
meetha kaju katli,kheer sagar,0
meetha kaju katli,samosa,0
meetha kaju katli,kuzhi paniyaram,0
meetha kaju katli,khichdi,0
meetha kaju katli,lassi,0
kalakand,kalakand,1
kalakand,ariselu,0
kalakand,malapua,0
kalakand,mahim halwa,0
kalakand,lyangcha,0
kalakand,hando guri,0
kalakand,mishti chholar dal,0
kalakand,chevdo,0
sweet kalakand,kalakand,1
sweet kalakand,chikki,0
sweet kalakand,chhena poda,0
sweet kalakand,sheer korma,0
sweet kalakand,dharwad pedha,0
sweet kalakand,ras malai,0
sweet kalakand,kulfi falooda,0
sweet kalakand,balu shahi,0
kalakand dessert,kalakand,1
kalakand dessert,dharwad pedha,0
kalakand dessert,dhondas,0
kalakand dessert,kuzhi paniyaram,0
kalakand dessert,gulab jamun,0
kalakand dessert,nankhatai,0
kalakand dessert,chicken razala,0
kalakand dessert,turiya patra vatana sabji,0
milk kalakand,kalakand,1
milk kalakand,boondi,0
milk kalakand,lassi,0
milk kalakand,gud papdi,0
milk kalakand,bebinca,0
milk kalakand,til pitha,0
milk kalakand,payasam,0
milk kalakand,chicken razala,0
west bengal kalakand,kalakand,1
west bengal kalakand,misti doi,0
west bengal kalakand,petha,0
west bengal kalakand,chhena jalebi,0
west bengal kalakand,bandar laddu,0
west bengal kalakand,rasabali,0
west bengal kalakand,dhondas,0
west bengal kalakand,copra paak,0
meetha kalakand,kalakand,1
meetha kalakand,lassi,0
meetha kalakand,cheera doi,0
meetha kalakand,phirni,0
meetha kalakand,kakinada khaja,0
meetha kalakand,ledikeni,0
meetha kalakand,sutar feni,0
meetha kalakand,mushroom matar,0
milk kheer,kheer,1
milk kheer,lassi,0
milk kheer,gajar ka halwa,0
milk kheer,rabri,0
milk kheer,sukhdi,0
milk kheer,til pitha,0
milk kheer,mohanthal,0
milk kheer,bengena pitika,0
sweet kheer,kheer,1
sweet kheer,pithe,0
sweet kheer,laddu,0
sweet kheer,payasam,0
sweet kheer,rasabali,0
sweet kheer,ras malai,0
sweet kheer,sandesh,0
sweet kheer,unni appam,0
meetha kheer,kheer,1
meetha kheer,jalebi,0
meetha kheer,khichdi,0
meetha kheer,shufta,0
meetha kheer,double ka meetha,0
meetha kheer,dudhi halwa,0
meetha kheer,adhirasam,0
meetha kheer,chorafali,0
kheer,kheer,1
kheer,samosa,0
kheer,phirni,0
kheer,hando guri,0
kheer,pantua,0
kheer,pinaca,0
kheer,adhirasam,0
kheer,mohanthal,0
kheer dessert,kheer,1
kheer dessert,coconut vadi,0
kheer dessert,malapua,0
kheer dessert,dharwad pedha,0
kheer dessert,mysore pak,0
kheer dessert,pinaca,0
kheer dessert,til pitha,0
kheer dessert,kadai paneer,0
meetha laddu,laddu,1
meetha laddu,coconut vadi,0
meetha laddu,phirni,0
meetha laddu,chhena jalebi,0
meetha laddu,sohan papdi,0
meetha laddu,misti doi,0
meetha laddu,payokh,0
meetha laddu,aloo shimla mirch,0
gram flour laddu,laddu,1
gram flour laddu,bebinca,0
gram flour laddu,phirni,0
gram flour laddu,ghevar,0
gram flour laddu,sutar feni,0
gram flour laddu,chhena jalebi,0
gram flour laddu,kakinada khaja,0
gram flour laddu,dal tadka,0
sweet laddu,laddu,1
sweet laddu,goja,0
sweet laddu,gulab jamun,0
sweet laddu,pithe,0
sweet laddu,kaju katli,0
sweet laddu,shrikhand,0
sweet laddu,sukhdi,0
sweet laddu,misi roti,0
laddu,laddu,1
laddu,hando guri,0
laddu,dhondas,0
laddu,ras malai,0
laddu,pinaca,0
laddu,goja,0
laddu,churma ladoo,0
laddu,pantua,0
laddu dessert,laddu,1
laddu dessert,adhirasam,0
laddu dessert,lassi,0
laddu dessert,pani puri,0
laddu dessert,mohanthal,0
laddu dessert,samosa,0
laddu dessert,payasam,0
laddu dessert,chapati,0
lassi dessert,lassi,1
lassi dessert,mawa bati,0
lassi dessert,litti chokha,0
lassi dessert,butter chicken,0
lassi dessert,bebinca,0
lassi dessert,gud papdi,0
lassi dessert,unni appam,0
lassi dessert,chicken tikka,0
meetha lassi,lassi,1
meetha lassi,chicken tikka,0
meetha lassi,kofta,0
meetha lassi,mishti chholar dal,0
meetha lassi,petha,0
meetha lassi,imarti,0
meetha lassi,mawa bati,0
meetha lassi,lilva kachori,0
punjab lassi,lassi,1
punjab lassi,chana masala,0
punjab lassi,chak hao kheer,0
punjab lassi,tandoori fish tikka,0
punjab lassi,chole bhature,0
punjab lassi,gulab jamun,0
punjab lassi,panjeeri,0
punjab lassi,til pitha,0
sweet lassi,lassi,1
sweet lassi,qubani ka meetha,0
sweet lassi,kulfi falooda,0
sweet lassi,paratha,0
sweet lassi,kheer,0
sweet lassi,aloo shimla mirch,0
sweet lassi,mihidana,0
sweet lassi,kabiraji,0
yogurt lassi,lassi,1
yogurt lassi,halvasan,0
yogurt lassi,lyangcha,0
yogurt lassi,boondi,0
yogurt lassi,coconut vadi,0
yogurt lassi,shahi paneer,0
yogurt lassi,bebinca,0
yogurt lassi,sev khamani,0
lassi,lassi,1
